cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
382_638,0,0.006472356542303785,LOW,0,0.45,RandomForest
383_922,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
384_469,1,0.9475346335697401,VERY_HIGH,1,0.45,RandomForest
384_549,0,0.07452494531889711,LOW,0,0.45,RandomForest
384_1393,0,0.015066666666666667,LOW,0,0.45,RandomForest
386_469,1,0.9940729933580997,VERY_HIGH,1,0.45,RandomForest
386_471,1,0.9947126126126126,VERY_HIGH,1,0.45,RandomForest
386_685,0,0.003288465031789282,LOW,0,0.45,RandomForest
388_927,0,0.0012134650317892825,LOW,0,0.45,RandomForest
391_315,0,0.14040238095238092,LOW,0,0.45,RandomForest
391_522,1,0.9644786172161176,VERY_HIGH,1,0.45,RandomForest
393_437,1,0.9842256235827663,VERY_HIGH,1,0.45,RandomForest
394_671,0,0.035897076681577406,LOW,0,0.45,RandomForest
394_1262,0,0.00707656026988452,LOW,0,0.45,RandomForest
394_1503,0,0.028038888888888884,LOW,0,0.45,RandomForest
395_1491,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
396_198,0,0.021693198502276172,LOW,0,0.45,RandomForest
396_1282,0,0.003055131698455949,LOW,0,0.45,RandomForest
396_1560,0,0.033227209620533875,LOW,0,0.45,RandomForest
397_969,0,0.0018134650317892826,LOW,0,0.45,RandomForest
398_366,1,0.9696499815430049,VERY_HIGH,1,0.45,RandomForest
398_393,0,0.5222474451904688,HIGH,1,0.45,RandomForest
398_514,1,0.9746569902319903,VERY_HIGH,1,0.45,RandomForest
398_612,0,0.1291596808420338,LOW,0,0.45,RandomForest
398_636,0,0.1797190570299267,LOW,0,0.45,RandomForest
398_724,0,0.0027884650317892825,LOW,0,0.45,RandomForest
399_176,0,0.19781314404549685,LOW,0,0.45,RandomForest
399_549,1,0.9145399267399273,VERY_HIGH,1,0.45,RandomForest
400_148,0,0.6996757908757913,HIGH,1,0.45,RandomForest
404_506,1,0.8026797389406084,VERY_HIGH,1,0.45,RandomForest
405_401,1,0.8950329541259777,VERY_HIGH,1,0.45,RandomForest
406_394,0,0.6975130686916433,HIGH,1,0.45,RandomForest
406_456,0,0.9268661811887878,VERY_HIGH,1,0.45,RandomForest
406_513,1,0.9804149350649355,VERY_HIGH,1,0.45,RandomForest
407_527,1,0.989468253968254,VERY_HIGH,1,0.45,RandomForest
407_1330,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
408_650,1,0.7694379055230122,VERY_HIGH,1,0.45,RandomForest
409_488,1,0.9823366337796573,VERY_HIGH,1,0.45,RandomForest
409_509,1,0.9644715284715286,VERY_HIGH,1,0.45,RandomForest
