hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
654_3044,4,3044441.081354686,654592.8648273894,50.0,HIGH
654_3047,1,3047239.941728583,654957.9962681789,12.5,LOW
654_3064,1,3064639.9464987065,654831.5313962072,12.5,LOW
654_3065,3,3065159.992223392,654256.8703816881,37.5,MODERATE
655_3032,1,3032634.523046486,655328.0519560688,12.5,LOW
655_3048,1,3048743.661544562,655719.3946080373,12.5,LOW
656_3034,2,3034655.910274158,656475.2875114265,25.0,MODERATE
656_3044,1,3044641.7788645565,656776.0628302643,12.5,LOW
656_3047,3,3047838.032420734,656548.5440931882,37.5,MODERATE
656_3048,3,3048542.1739270687,656224.9786857328,37.5,MODERATE
657_3009,1,3009935.580133559,657347.4623438455,12.5,LOW
657_3010,3,3010645.9658393674,657383.3707835738,37.5,MODERATE
657_3011,1,3011224.301699251,657273.2661500559,12.5,LOW
657_3019,1,3019882.7404566156,657295.3981332926,12.5,LOW
657_3045,2,3045916.697825767,657539.0684014454,25.0,MODERATE
657_3046,1,3046117.360839737,657821.8651836172,12.5,LOW
657_3062,1,3062411.9972184366,657517.9912527185,12.5,LOW
658_3008,4,3008575.889740278,658292.9535900017,50.0,HIGH
658_3009,1,3009953.207535971,658497.5952391316,12.5,LOW
658_3013,4,3013679.008005129,658551.7786535725,50.0,HIGH
658_3018,1,3018731.4564619013,658250.5870179747,12.5,LOW
658_3026,1,3026076.431943746,658318.675146148,12.5,LOW
658_3035,2,3035956.738895356,658304.1627244155,25.0,MODERATE
658_3045,3,3045900.7700428856,658451.1961471444,37.5,MODERATE
658_3046,3,3046318.558336519,658544.5643144505,37.5,MODERATE
658_3048,2,3048117.617988282,658510.4949353575,25.0,MODERATE
658_3059,1,3059780.8902097517,658519.656450241,12.5,LOW
658_3060,1,3060836.9327279264,658067.4318070852,12.5,LOW
659_3011,1,3011185.230282701,659282.6034421083,12.5,LOW
659_3014,1,3014198.6944043217,659090.2765200655,12.5,LOW
659_3028,1,3028714.0120482515,659966.5354215002,12.5,LOW
659_3031,1,3031563.0617866362,659635.4899805749,12.5,LOW
659_3033,2,3033835.1575718094,659788.6979006176,25.0,MODERATE
659_3035,2,3035484.6949301474,659410.2283420151,25.0,MODERATE
659_3046,1,3046732.9379366906,659004.7204562762,12.5,LOW
659_3056,2,3056239.8987184525,659728.2219489174,25.0,MODERATE
659_3057,1,3057258.3576855934,659819.0494535868,12.5,LOW
659_3058,1,3058488.5888673263,659029.9067471882,12.5,LOW
660_3012,1,3012919.5944435447,660349.9004992568,12.5,LOW
660_3014,2,3014741.9301148234,660956.3024074989,25.0,MODERATE
660_3024,1,3024826.440023431,660440.2203158059,12.5,LOW
660_3025,1,3025302.9176990828,660865.5613879096,12.5,LOW
660_3029,1,3029108.72952475,660725.2935121295,12.5,LOW
660_3031,4,3031249.1277541127,660522.888862969,50.0,HIGH
660_3033,8,3033588.9431060175,660500.574364757,100.0,VERY_HIGH
660_3047,1,3047691.855538454,660781.2385960318,12.5,LOW
660_3048,2,3048736.437632677,660149.7891457216,25.0,MODERATE
660_3055,1,3055912.259332569,660212.3782492375,12.5,LOW
661_3009,3,3009131.9632463553,661507.0459409737,37.5,MODERATE
661_3013,1,3013345.7394586504,661874.2078761925,12.5,LOW
661_3025,1,3025247.3646646943,661083.490460856,12.5,LOW
661_3029,3,3029440.3850254435,661296.1218760383,37.5,MODERATE
661_3030,1,3030005.1564680743,661485.6374061565,12.5,LOW
661_3047,1,3047944.9491174566,661537.8631793864,12.5,LOW
