incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_63,2,79.93154105312227,79.89857811412028,58.92391816804378,CRITICAL,0,3017250.5044235187,641596.000872824,"533_525,533_527",CRITICAL_RISK_ZONE,86.8627198207785,91.34301462047121,94.36872155819304,14.285714285714285,82.37757866156426,P1_CRITICAL,62,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_78,2,80.58995487956385,78.19856967334755,59.105872354440265,CRITICAL,0,3014500.5044235187,650896.000872824,"626_498,626_499",CRITICAL_RISK_ZONE,88.77384499910012,86.14829844966958,94.97288666444597,14.285714285714285,82.3496830342119,P1_CRITICAL,63,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_20,2,81.57639807078868,76.30133784454944,58.512015189630034,CRITICAL,0,3018200.5044235187,621596.000872824,"332_535,334_536",CRITICAL_RISK_ZONE,91.63711479086993,80.35092672818726,93.00102888979268,14.285714285714285,81.98571565254852,P1_CRITICAL,64,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_37,3,80.1068083046416,76.95800596091615,58.59894004559774,CRITICAL,0,3014150.5044235187,633762.6675394906,"452_495,454_496,458_494",CRITICAL_RISK_ZONE,87.37145406034348,82.35750763750879,93.28965629585474,28.57142857142857,81.96821278576287,P1_CRITICAL,65,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_72,8,76.9764244203158,73.62055403647501,57.36839683867517,CRITICAL,0,3005088.0044235187,649771.000872824,"609_405,613_406,614_407,616_401,616_402,616_405,616_406,618_403",CRITICAL_RISK_ZONE,78.28513901213087,72.15925504925288,89.20373070061089,100.0,81.96109624046218,P1_CRITICAL,66,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_31,2,81.06302014179866,77.15488467689568,58.62467533548826,CRITICAL,0,3012450.5044235187,629446.000872824,"410_480,413_476",CRITICAL_RISK_ZONE,90.14697371745109,82.95910997374224,93.37510837837662,14.285714285714285,81.93030869076703,P1_CRITICAL,67,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_22,7,78.26516597764578,72.29101481379776,57.70479304673757,CRITICAL,0,3011250.504423519,622281.7151585383,"338_466,339_465,339_466,339_467,340_465,342_465,342_468",CRITICAL_RISK_ZONE,82.02586610450355,68.09658175063255,90.3207088521563,85.71428571428571,81.68256188162076,P1_CRITICAL,68,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_121,2,80.34631066081161,79.12849285593637,57.84576725665549,CRITICAL,0,3029500.5044235187,667946.000872824,"795_648,798_649",CRITICAL_RISK_ZONE,88.06663840301991,88.9898649256582,90.78880304773797,14.285714285714285,81.55373245699651,P1_CRITICAL,69,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_6,3,80.21043624753871,75.74246082579653,58.43938789386552,CRITICAL,0,3005150.5044235187,613262.6675394906,"248_404,250_404,251_407",CRITICAL_RISK_ZONE,87.67224660584435,78.64316609760739,92.7598754503944,28.57142857142857,81.2282559118929,P1_CRITICAL,70,Immediate review and prioritized assessment.
RISK_ZONE_ISOLATED_44,1,79.88928098838882,79.88928098838882,58.65980113891372,CRITICAL,0,3023150.5044235187,620596.000872824,323_585,CRITICAL_RISK_ZONE,86.74005490928036,91.31460539130453,93.49174095044901,0.0,80.66888102504932,P1_CRITICAL,71,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_7,4,79.08543887114715,74.60899053311451,58.05102745209014,CRITICAL,0,3015425.5044235187,613496.000872824,"251_505,251_510,252_509,254_507",CRITICAL_RISK_ZONE,84.40680665725228,75.17962067200811,91.47035399328226,42.857142857142854,80.17228991420001,P1_CRITICAL,72,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_43,2,79.47497514637914,77.65318541892543,58.61814972044024,CRITICAL,0,3003150.5044235187,635946.000872824,"475_386,478_384",CRITICAL_RISK_ZONE,85.53748246260238,84.48176766205809,93.35344056744613,14.285714285714285,80.15515221101566,P1_CRITICAL,73,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_28,2,78.97530492845863,78.81349277546781,58.33381873012696,CRITICAL,0,3015750.5044235187,629046.000872824,"406_513,409_509",CRITICAL_RISK_ZONE,84.08712966626712,88.02731910966797,92.40934103131728,14.285714285714285,79.97557885815455,P2_HIGH,74,High-priority monitoring and infrastructure review.
RISK_ZONE_CLUSTER_26,2,79.91005577072916,76.7007298692037,58.38350073793657,CRITICAL,0,3026000.5044235187,625896.000872824,"376_613,376_614",CRITICAL_RISK_ZONE,86.80035620917764,81.57134902680691,92.57430637848302,14.285714285714285,79.9465781226835,P2_HIGH,75,High-priority monitoring and infrastructure review.
RISK_ZONE_CLUSTER_38,3,78.84082423384099,76.46838149026958,57.92751139897457,CRITICAL,0,3005517.1710901856,633596.000872824,"453_407,453_408,453_411",CRITICAL_RISK_ZONE,83.69678330481392,80.86136203358942,91.06022828618863,28.57142857142857,79.45802482257416,P2_HIGH,76,High-priority monitoring and infrastructure review.
RISK_ZONE_CLUSTER_39,2,79.46131877392446,76.91022068580301,58.13636648392811,CRITICAL,0,3009250.5044235187,633996.000872824,"455_445,459_447",CRITICAL_RISK_ZONE,85.49784320201195,82.21149016171108,91.75371579033131,14.285714285714285,79.28332784940186,P2_HIGH,77,High-priority monitoring and infrastructure review.
