incident_id,priority_rank,priority_score,priority_level,max_risk_score,historical_hotspot_distance_m,hotspot_id,event_count,hotspot_score,hotspot_category,historical_current_score,historical_current_category,persistent_risk_zone
RISK_ZONE_ISOLATED_189,230,38.45133282109843,P3_MODERATE,66.79053763464147,321.57541253031565,658_3048,2,25.0,MODERATE,53.4181159445352,STRONG,0
RISK_ZONE_CLUSTER_90,231,38.11900362604213,P3_MODERATE,64.23848539665852,45.18865411508528,654_3016,2,25.0,MODERATE,53.5543342520363,STRONG,0
RISK_ZONE_ISOLATED_124,232,38.027445552605926,P3_MODERATE,66.60550406250331,999.0466350858981,639_2998,3,37.5,MODERATE,56.8562417452714,STRONG,0
RISK_ZONE_ISOLATED_30,233,37.91614330857189,P3_MODERATE,66.55691885286998,48.44515084239093,618_3015,1,12.5,LOW,48.7280005242137,MODERATE,0
RISK_ZONE_ISOLATED_125,234,37.37118717049833,P3_MODERATE,60.90147344842202,282.08791583394344,639_3005,2,25.0,MODERATE,51.49742323923873,STRONG,0
RISK_ZONE_CLUSTER_58,235,37.3143978488666,P3_MODERATE,64.29686855681575,207.8341921849499,640_2997,1,12.5,LOW,47.33074420517165,MODERATE,0
RISK_ZONE_ISOLATED_169,236,37.181073624933646,P3_MODERATE,66.23604917962466,60.20156088916544,650_3038,2,25.0,MODERATE,54.1946758575105,STRONG,0
RISK_ZONE_ISOLATED_223,237,36.99646134377219,P3_MODERATE,66.1554629663011,17.818302046914493,666_3057,1,12.5,LOW,48.70839192159556,MODERATE,0
RISK_ZONE_ISOLATED_17,238,36.83955418723976,P3_MODERATE,66.08697048298004,46.322137288205035,615_3016,1,12.5,LOW,48.57185195494952,MODERATE,0
RISK_ZONE_ISOLATED_51,239,36.75674381419813,P3_MODERATE,66.05082243071963,42.69656463811824,622_3000,1,12.5,LOW,48.57344764123965,MODERATE,0
RISK_ZONE_ISOLATED_185,240,36.58858488250869,P3_MODERATE,65.97741836758726,447.98482275620347,657_3045,2,25.0,MODERATE,52.697507328902645,STRONG,0
RISK_ZONE_ISOLATED_87,241,36.440367297051566,P3_MODERATE,65.91271902101722,30.105301353941776,630_3010,1,12.5,LOW,48.57475117575443,MODERATE,0
RISK_ZONE_ISOLATED_80,242,36.1323372660067,P3_MODERATE,65.77825898598773,57.51878203842732,629_3001,1,12.5,LOW,48.419932144129966,MODERATE,0
RISK_ZONE_ISOLATED_200,243,35.9850269271817,P3_MODERATE,65.71395566708267,473.64059280870583,659_3035,2,25.0,MODERATE,52.51926083445464,STRONG,0
RISK_ZONE_ISOLATED_46,244,35.976344650879255,P3_MODERATE,65.71016571461666,27.319186550479508,620_3012,2,25.0,MODERATE,54.139875079709405,STRONG,0
RISK_ZONE_ISOLATED_199,245,35.85433827367626,P3_MODERATE,65.65690797965853,448.9647099319689,659_3035,2,25.0,MODERATE,52.582027840084024,STRONG,0
RISK_ZONE_ISOLATED_164,246,35.782383981756794,P3_MODERATE,65.62549878043468,48.40745437195186,649_3034,1,12.5,LOW,48.40215140583368,MODERATE,0
RISK_ZONE_ISOLATED_102,247,35.61079560732014,P3_MODERATE,65.55059771069436,18.553999096109713,635_3005,1,12.5,LOW,48.49376758488592,MODERATE,0
RISK_ZONE_ISOLATED_129,248,35.4715807520544,P3_MODERATE,65.48982819983803,42.77880462433495,640_3001,1,12.5,LOW,48.37677625279197,MODERATE,0
